json_path,required,value_type,source_hint,formula_hint,value,notes
meta.skill_name,yes,string,project skill identifier,direct copy,,
meta.description,yes,string,skill description extracted from SKILL.md,direct copy,,
meta.skill_url,yes,string,canonical upstream skill page,direct copy,,
meta.download_url,yes,string,direct downloadable SKILL.md URL or canonical fallback,direct copy,,
meta.evaluation_timestamp,yes,string,current evaluation timestamp,direct copy,,
meta.spec_mode,yes,string,spec mode,direct copy,,
meta.non_skill_failure_check.state,yes,string,environment/dependency blockage status,yes means no environment or dependency blockage was detected while no means the benchmark was blocked by environment/dependency causes,,
meta.non_skill_failure_check.reason,yes,string,environment/dependency blockage explanation,yes should say no environment or dependency blockage detected while no should explain the detected environment or dependency blocker,,
methodology.functional_scope,yes,string,active benchmark methodology,direct copy,,
methodology.token_counting.scope,yes,string,active benchmark methodology,direct copy,,
methodology.token_counting.character_scope,yes,string,active benchmark methodology,direct copy,,
methodology.token_counting.method,yes,string,active benchmark methodology,direct copy,,
methodology.token_counting.formula,yes,string,active benchmark methodology,direct copy,,
methodology.token_counting.priority_order,yes,json_array,active benchmark methodology,direct copy,[],
methodology.token_counting.characters_per_token,yes,number,active benchmark methodology,direct copy,,
methodology.token_counting.unit,yes,string,active benchmark methodology,direct copy,,
methodology.time_counting.scope,yes,string,active benchmark methodology,direct copy,,
methodology.time_counting.method,yes,string,active benchmark methodology,direct copy,,
methodology.time_counting.validation_rule,yes,string,active benchmark methodology,direct copy,,
methodology.time_counting.priority_order,yes,json_array,active benchmark methodology,direct copy,[],
methodology.time_counting.unit,yes,string,active benchmark methodology,direct copy,,
methodology.security_scope,yes,string,active benchmark methodology,direct copy,,
methodology.task_log_scope,yes,string,active benchmark methodology,direct copy,,
summary.overall_score,yes,number,calculated overall score,from scores.json scores.overall_score,,
summary.overall_summary,yes,string,final benchmark summary,human summary grounded in evidence,,
summary.utility_score,yes,number,utility score summary,from scores.json scores.utility_score,,
summary.security_score,yes,number,security score summary,from scores.json scores.security_score,,
summary.efficiency_reference_score,yes,number,display-friendly efficiency reference,derived from token/time efficiency subscores,,
utility.score,yes,number,utility final score,from scores.json scores.utility_score,,
utility.reasoning,yes,string,utility reasoning,evidence grounded summary,,
utility.valid_task_count,yes,number,matched valid tasks,from scores.json scores.valid_task_count,,
utility.summary,yes,string,utility summary,one evidence-based paragraph that synthesizes task performance and prioritizes problems when present,,
utility.counts.skill_successful_tasks,yes,number,utility counts,from scores.json scores.skill_successful_tasks,,
utility.counts.baseline_successful_tasks,yes,number,utility counts,from scores.json scores.baseline_successful_tasks,,
utility.counts.incremental_utility_tasks,yes,number,utility counts,from scores.json scores.incremental_utility_tasks,,
